company_id,company_name,company_category,is_synthetic_name,note
arx_020,SupportVector AI,Support automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_021,NexusPrompt,Prompt operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_022,AutomateIQ,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_023,KernelDesk,Developer tooling,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_024,FluxAgent,Agent infrastructure,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_025,ScriptFlow AI,Content automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_026,DraftPilot AI,Content automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_027,SynthSupport,Support automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_028,InsightForge AI,Analytics automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_029,NovaContract AI,Contract automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_030,ScaleLens AI,Growth intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_031,HyperDesk AI,Support automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_032,ProductPulse AI,Product analytics,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_033,CohortCloud AI,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_034,TensorBridge AI,Model operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_035,AnswerOps AI,Support automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_036,LaunchLoop AI,Growth intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_037,TaskHarbor AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_038,RevenuePilot AI,Revenue operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_039,ClientSignals AI,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_040,Gridline AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_041,AgentMetrics AI,Product analytics,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_042,WorkflowLens AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_043,SignalSpring AI,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_044,CallCraft AI,Voice automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_045,IntakeFlow AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_046,MotionDesk AI,Productivity automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_047,GuardrailIQ,AI governance,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_048,PromptLedger AI,Prompt operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_049,Retainly AI,Retention intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_050,JourneyForge AI,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_051,AutomataCare,Support automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_052,MetricMind AI,Analytics automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_053,SegmentPilot AI,Product analytics,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_054,RenewalDesk AI,Revenue operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_055,ContractSense AI,Contract automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_056,ModelHarbor AI,Model operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_057,PathwayOps AI,AI operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_058,VertexPrompt AI,Prompt operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_059,UsageLens AI,Product analytics,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_060,OutputLoop AI,AI operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_061,AgentLayer AI,Agent infrastructure,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_062,RetentionGrid AI,Retention intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_063,CortexOps AI,AI operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_064,BillingBridge AI,Revenue operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_065,SignalNest AI,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_066,WorkflowPilot AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_067,PromptDock AI,Prompt operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_068,EngageForge AI,Product analytics,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_069,Northstar Agents,Agent infrastructure,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_070,DataPilot AI,Analytics automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_071,ScaleSignal AI,Growth intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_072,AtlasAssist AI,AI assistant platform,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_073,NeuralHarbor AI,Model operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_074,RevenueSignal AI,Revenue operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_075,AssistLayer AI,AI assistant platform,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_076,ContractPilot AI,Contract automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_077,EchoOps AI,Voice automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_078,VectorHarbor AI,Developer tooling,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_079,LedgerSignal AI,Finance automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
